Author,Title,Format,Publisher,Cost,Stock,Genre
"Wodehouse, PG",Right Ho Jeeves,hb,Penguin,10.99,5.0,fiction
"Pais, A",Subtle is the Lord,pb,OUP,12.99,2.0,biography
"Calaprice, A",The Quotable Einstein,pb,PUP,7.99,6.0,science
"Faraday, M",The Chemical History of a Candle,pb,Cherokee,5.99,1.0,science
"Smith, C",Energy and Empire,hb,CUP,60.0,1.0,science
"Herschel, J",Popular Lectures,hb,CUP,25.0,1.0,science
"Lewis, CS",The Screwtape Letters,pb,Fount,6.99,16.0,religion
"Tolkein, JRR",The Hobbit,pb,Harper Collins,7.99,12.0,fiction
"Lewis, CS",Mere Christianity,pb,Fount,6.99,7.0,religion
"Heisenberg, E",Inner Exile,hb,Birkhauser,24.95,1.0,biography
"Stokes, GG",Natural Theology,hb,Black,30.0,1.0,religion
"Griffin, W", CS Lewis - The Authentic Voice,pb,Lion,3.99,2.0,biography
"Fraser, G",The Quantum Exodus,hb,OUP,15.0,1.0,science
"Milne, AA",Winnie the Pooh,pb,Lion,1.5,6.0,childrens
"Nesbitt, EM",The Amulet,hb,Black,6.5,75.0,childrens
"Heaney, S",Death of a Naturalist,hb,Faber,45.0,1.0,poetry
"Armitage, S",Sir Gawain and the Green Knight,hb,Faber,20.0,1.0,poetry
"Barth, K",Dogmatics in Outline,pb,SCM,6.5,1.0,religion
"Campbell, L",James Clerk Maxwell,hb, Macmillan,200.0,1.0,biography
"Born, M",Atomic Physics,hb,Blackie,17.0,1.0,science
"Born, M",Atomic Physics,pb,Blackie,10.0,2.0,science
"Stroud, KA",Engineering Mathematics,pb,MacMillan,12.5,2.0,science
"Ward, M",Virtual Organisms,pb,Pan,3.5,1.0,science
"Ledermann, W",Complex Numbers,pb,Routledge,1.9,2.0,science
"Hardy, GH",A Mathematician's Apology,hb,CUP,25.0,1.0,science
"Harel, D",Computers Ltd,pb,OUP,4.5,2.0,science
"Zaphel, X",Scepter's Oak,hb,Penguin,3.99,1.0,fiction
"Orwell, G,1984",pb,Penguin,3.50,3.0,nan,nan
"Camus, A",The Plague,pb,Penguin,4.5,3.0,fiction
